age gender z1 z2 z3 y
36.9478898413945 1 1 0 1 0
41.7455754836556 1 1 1 1 0
50.7784013508353 1 1 0 1 1
65.8693505497649 1 0 1 0 1
34.0756868966855 0 1 0 0 0
65.4275358235464 1 1 0 0 1
67.5103870872408 0 1 1 0 1
54.7359006619081 1 1 1 0 0
53.3101319754496 1 0 0 0 1
27.7803821710404 1 1 1 0 0
34.2688558704685 1 0 0 0 1
32.9450538638048 0 1 1 0 0
55.9160280996002 0 1 1 1 0
42.2846673196182 1 0 1 0 0
59.642863899935 1 1 1 0 0
47.3964658938348 0 0 0 0 1
57.292832871899 1 0 1 0 0
69.6357742673717 1 1 0 0 0
42.1015830745455 0 1 0 1 0
59.9850349593908 1 1 0 0 0
67.0617353997659 1 1 0 0 1
34.5464134577196 1 0 1 1 0
54.3253194738645 0 1 1 0 0
30.6499793182593 0 0 1 0 0
37.0249300927389 0 1 0 0 1
42.3751341644675 1 1 1 1 0
25.6025649921503 1 1 0 0 1
42.207458068151 1 1 1 0 1
64.1360880574211 1 1 1 1 0
40.3157048509456 1 1 1 0 1
46.6936051961966 1 1 1 0 0
51.980462144129 0 1 0 0 0
47.2093588171992 0 1 1 0 1
33.379792063497 0 0 0 1 0
62.2317993373144 0 1 1 0 0
55.0810032186564 0 1 0 0 0
60.7407937326934 0 1 1 0 0
29.8574631649535 0 1 1 1 1
57.5669925718103 0 0 0 1 1
43.5073493339587 1 1 1 0 0
61.9425832352135 0 1 0 0 0
54.1177087218966 1 1 0 0 1
60.2319743030239 1 1 0 1 1
49.8866340238601 0 1 1 0 0
48.8373811088968 0 1 1 1 1
60.5210304260254 0 1 0 0 0
26.0499041050207 1 1 1 1 0
46.4753529266454 0 1 0 0 1
57.954118240159 1 1 0 1 1
56.1729200417176 1 0 1 1 0
46.4928829960991 1 1 0 0 0
63.7544264574535 1 1 0 1 0
44.7143698250875 0 1 1 0 0
36.015877466416 1 0 0 0 0
28.1805571215227 1 0 1 1 0
29.4759772077668 0 1 1 0 1
39.2322268232238 0 1 0 0 0
48.3385418436956 0 1 1 0 0
54.7902284387965 1 1 1 1 0
43.3073584234808 1 1 1 0 0
66.0794165916741 1 1 0 0 1
38.2121517742053 0 0 1 0 0
45.6579576816875 0 0 1 0 1
39.9577603384387 1 1 0 1 0
54.2891710181721 1 1 0 0 0
36.6107551322784 1 0 1 0 1
46.534536172403 0 1 1 0 1
59.4839801790658 1 1 1 0 0
28.7911111465655 0 0 1 1 0
64.3894598516636 1 1 0 0 1
40.2582822029945 0 1 0 1 0
62.7748157584574 0 1 1 1 0
40.6007570121437 0 1 1 0 0
40.0198718858883 0 1 1 1 0
46.4358060283121 1 0 0 1 1
65.1489251130261 1 1 1 0 1
63.895276178373 1 1 1 1 1
42.5495294563007 0 1 0 0 0
59.979431447573 1 1 0 0 0
68.2278098748066 1 1 1 0 0
44.5596768148243 0 1 0 1 1
57.0631605421659 1 1 1 0 1
42.9997466003988 1 1 1 1 0
39.640846834518 0 1 1 0 0
59.0689216612373 1 1 1 0 1
34.1211514815222 0 0 1 1 0
57.000455011148 0 1 1 0 1
30.476136446232 1 1 0 0 0
36.0469831281807 1 0 0 1 1
31.4486970740836 1 1 1 0 0
35.7833236793522 1 1 0 1 0
27.6520469773095 0 1 1 1 0
53.9029716339428 1 1 0 1 0
64.4321145711001 1 1 0 0 1
60.051160485018 1 1 0 0 0
60.8788971649483 1 1 0 0 0
45.4873504128773 0 1 0 1 0
43.4537836920936 0 1 0 1 0
61.4891609246843 0 1 1 0 1
52.2219980624504 0 0 0 0 1
54.4625767634716 1 1 0 0 0
40.8938772371039 1 1 0 1 0
37.161706564948 0 1 0 0 0
69.6707827528007 1 1 1 0 1
53.5071968997363 1 1 1 0 0
34.5943660847843 1 1 0 1 0
30.8217556634918 0 1 0 1 0
46.5153115440626 0 1 0 0 1
66.5833511424717 1 0 0 1 1
51.9442435214296 0 1 0 1 0
68.9276812714525 1 1 0 0 1
57.9306630347855 0 1 1 0 1
41.0527110437397 1 1 0 1 0
44.4163160747848 1 1 1 1 0
31.6695202304982 1 1 1 0 0
