"tactic" "finances" "intelligence" "violence" "age"
"1" "Family" 0.263272478802776 91.3167447340597 2.15272919740528 53.7538065150707
"2" "Strangers" 6.71333676764359 97.8785367704933 75.4620883148164 56.2342608400396
"3" "Family" 1.27900118016372 98.2711574157942 36.059922282584 39.0610632162642
"4" "Family" 0.766659790835131 97.6778024548522 14.2068272223696 35.9476758930591
"5" "Strangers" 6.48699000871782 96.9581438438968 75.9573208168149 43.3565254553899
"6" "Isolation" 2.40593207342427 96.0653878354745 64.0206991694868 58.7375710216768
"7" "Friend" 7.1880176264431 96.3599015984552 25.8643780834973 46.4524054319632
"8" "Isolation" 0.660623452101554 89.4721241373861 97.3373514832929 56.0933649161904
"9" "Family" 1.04524378620118 98.5143283222878 18.4228520840406 46.8904288832883
"10" "Strangers" 0.349154466332732 94.8217641553575 89.699573465623 15.8879345823144
"11" "Family" 1.13496624592354 93.9038890550133 44.8030637577176 60.6565419788422
"12" "Friend" 0.763946275394173 98.2305683796495 24.9405017821118 40.6362836323459
"13" "Family" 3.653018317758 97.2944734963012 34.1053067706525 55.1595968736645
"14" "Isolation" 0.892714665499584 97.9795984523206 78.2494077458978 29.9884970225068
"15" "Strangers" 1.85738730448586 97.8579145293598 92.6454420899972 29.5252506580465
"16" "Family" 2.77362347262803 96.423181206205 10.6254103127867 47.4724779962444
"17" "Family" 1.1237122714 94.9272441851208 31.8466026103124 64.9253230601168
"18" "Friend" 6.393927273898 96.717767821526 24.3015380809084 36.4672259979486
"19" "Friend" 4.84123674870513 96.9456044823518 23.2376380590722 28.9025371144176
"20" "Family" 0.641759368447595 90.3270016214569 1.40065022278577 38.6768437605913
"21" "Isolation" 1.93669787856072 98.0725727728811 77.6681630173698 57.3454114415557
"22" "Family" 1.45033788314354 99.0098504724301 36.4952422212809 45.0194523628959
"23" "Friend" 9.85683151766408 96.8317825304541 18.3069931576028 37.7668305628509
"24" "Family" 2.62086974800705 98.2283720970258 22.4293089006096 41.4896247355513
"25" "Friend" 0.925468176621783 97.5916965481106 4.38337803352624 29.5841280729679
"26" "Isolation" 1.07105615042124 95.1606979927852 95.3223765129223 38.5714581226822
"27" "Family" 0.454449511124017 97.4104635500434 19.6679137414321 57.7512885901502
"28" "Family" 0.80845243723585 94.6044214037943 31.0429990058765 55.3149493359841
"29" "Strangers" 4.45430599417167 98.7514355994175 93.0717818206176 32.0912973437202
"30" "Isolation" 1.40634986512705 94.0808957355597 66.1930817179382 43.5396031511675
"31" "Strangers" 1.50248001850508 98.3360036891184 87.8287150058895 33.7312854928284
"32" "Isolation" 0.575193173144125 99.7336774274976 70.913603133522 51.1857153367826
"33" "Friend" 13.3377075919593 99.0812751603943 19.7351596551016 50.095098356012
"34" "Strangers" 5.63747870934425 97.679809258668 70.8130781538785 45.8069613950911
"35" "Family" 0.796066497707834 98.3641137475397 11.3926035817713 46.8507862773078
"36" "Friend" 6.65817532796303 99.0236764447133 6.47117991466075 42.118669647348
"37" "Isolation" 1.64956597486016 97.9937713690539 90.7736893277615 57.5567244562035
"38" "Strangers" 0.806232004058444 98.5792029771115 55.198991810903 44.5173100138804
"39" "Family" 0.84749557317352 98.8383436618292 45.7082102773711 33.8713938734612
"40" "Friend" 4.02481190980385 96.756469892188 30.8438859181479 55.3995482222154
"41" "Isolation" 0.463766812131728 96.1941266556305 94.7525220457464 54.4418869375367
"42" "Strangers" 1.25292896470047 97.5030095587514 50.8044556947425 28.9651111142916
"43" "Family" 1.22243671049751 98.0115223160628 36.5489514544606 45.7724229365286
"44" "Friend" 0.67223802515612 92.7679854673488 53.0732776038349 28.0543845217549
"45" "Strangers" 6.52879994616835 92.6351090718904 56.3088472699746 40.5116873054093
"46" "Isolation" 3.73327295476506 99.4836345694927 61.0008223680779 47.0682068396343
"47" "Isolation" 1.73726119953422 99.2333182823322 97.1157119143754 40.8122663199666
"48" "Isolation" 2.28434645723763 99.4584890881402 61.9623180711642 53.7956249058005
"49" "Strangers" 4.8113375001076 97.2806275454111 67.7133067743853 42.5922819991136
"50" "Family" 0.754316363810242 98.9135468376914 53.271591803059 56.5227511076097
"51" "Isolation" 8.98357977151751 96.2947832487697 57.2138729738072 63.6428367413662
"52" "Family" 0.250403088094391 98.6488156867741 3.46614206209779 47.2368920615357
"53" "Friend" 5.59073350719468 98.0098833720465 13.9799396740273 42.3427865246801
"54" "Strangers" 2.42958026380505 96.5521951439736 90.3972641564906 42.5196755915102
"55" "Strangers" 1.67431541187779 99.548064930457 63.3937668288127 32.0833835142185
"56" "Family" 3.98312169550476 96.3791044056161 26.125534507446 61.1407753644874
"57" "Isolation" 0.806548770947178 95.1322992683452 55.6086079915985 59.6121475660089
"58" "Friend" 0.527640477491399 98.1072582076629 2.49692269135267 49.204211970199
"59" "Isolation" 5.51350589646468 97.1692746216824 54.6838146401569 41.0036508378855
"60" "Strangers" 2.79780535697545 96.7803314192112 74.2873818380758 43.8732023187108
"61" "Family" 1.24293958076534 98.6281126667625 17.9765134118497 50.1660896370549
"62" "Strangers" 8.89506566026111 99.7166754056887 58.2019689725712 60.4546335667915
"63" "Family" 0.266565724901287 94.931126115489 14.543765806593 55.7810096960664
"64" "Strangers" 2.36303947315104 89.3036627823685 83.697264874354 42.9034366706348
"65" "Strangers" 2.53214614758483 99.633968530786 57.5348270358518 39.0188014539674
"66" "Friend" 3.97778445154659 96.8175330280723 51.0120525257662 27.3752624827176
"67" "Family" 2.00985352764416 96.5791337063063 20.2157708117738 48.8838537635326
"68" "Strangers" 5.14289482582206 97.8998920159199 85.130396229215 43.1313972624777
"69" "Friend" 3.35948119561659 99.0502965409767 0.0274062622338533 36.5697730415756
"70" "Isolation" 5.26174097658825 93.1971050865335 97.3507157992572 47.964073820845
"71" "Isolation" 1.66984054711576 92.2917484606604 96.9778562663123 26.3494029083718
"72" "Family" 0.978841101759766 95.1682675375993 15.9409414976835 61.4433191195658
"73" "Friend" 0.808065395421307 98.9650556364214 28.0803793342784 28.9225291565988
"74" "Strangers" 3.48605022190189 94.7502375638776 76.8756522797048 26.7609472132097
"75" "Isolation" 1.31173945655545 99.1608727387173 50.9400199865922 47.3688365596184
"76" "Isolation" 3.44575299727679 98.8798451456136 65.1917442912236 42.7607919310231
"77" "Friend" 3.84157681807698 95.2545724501155 51.0719413636252 45.9167766707182
"78" "Strangers" 2.77763384306241 99.6346133347116 82.1796575793996 32.2413599685264
"79" "Isolation" 1.10154607684688 99.3966921764178 90.4237768379971 55.3635922965338
"80" "Isolation" 1.35531557699477 97.8780567872201 86.1390477512032 44.5308791838496
"81" "Isolation" 1.65916309681546 95.7670187980075 96.1152096511796 42.2193001345651
"82" "Strangers" 8.03094893784938 92.474467934528 95.092765102163 47.2266024001814
"83" "Friend" 6.37981250532287 99.1665940112309 52.7100814273581 37.9722265546457
"84" "Family" 0.137814978347053 98.0863618019844 31.0816194862127 34.5686961907594
"85" "Isolation" 2.12901106442994 99.8812055682883 80.3894224809483 51.0328962473217
"86" "Friend" 6.13752557474323 99.1952837876823 51.2988883070648 50.3504960031499
"87" "Strangers" 2.93239474776443 99.1013979004304 61.8881469359621 44.8382169485854
"88" "Strangers" 4.6257877078961 97.7351937925049 55.4923848249018 56.555491793277
"89" "Isolation" 2.50917389723679 97.5910566330579 63.1650000344962 42.2444461619381
"90" "Family" 3.30762441062599 96.8791473333896 9.30092025082558 53.1730752378943
"91" "Family" 1.63682811471624 98.7274767698805 43.4138498269022 50.698557193993
"92" "Friend" 2.68662200393592 97.6052915166709 5.72438277304173 33.9047837881424
"93" "Isolation" 0.657871387940623 94.2296848697828 55.6835133815184 47.7565337053436
"94" "Friend" 5.70792080804354 97.978062717031 27.4023124249652 34.4622772098679
"95" "Strangers" 5.37582090177131 98.0924375417866 79.4498518574983 42.6094109273896
